station_name,station_code,state,latitude,longitude,date,year,all_sources,n_params,min_trust,mean_trust,temperature,ph,conductivity,do,bod,cod,nitrate,fecal_coliform,total_coliform,tds,fluoride,arsenic,turbidity,chloride,hardness,sulphate,iron,calcium,magnesium,sodium,potassium,ammonia,tss,toc
A/C Gomti River ( Bhusaula),,Uttar Pradesh,,,2021-01-01,2021,data_gov_in,4,0.63,0.765,,8.3,,8.2,3.2,,,7000.0,,,,,,,,,,,,,,,,
A/C Gomti River ( Bhusaula),,Uttar Pradesh,,,2022-01-01,2022,data_gov_in,4,0.63,0.765,,8.3,,7.8,3.3,,,7850.0,,,,,,,,,,,,,,,,
A/C Gomti River (Bhusaula),,Uttar Pradesh,,,,,data_gov_in,2,0.45,0.675,,,17000.0,7.55,,,,,,,,,,,,,,,,,,,,
A/C Song Near Satyanarayan Temple D/S Raiwala,,Uttarakhand,,,2017-01-01,2017,data_gov_in,4,0.45,0.72,,7.6,,9.0,1.0,2725.0,,,,,,,,,,,,,,,,,,
"A/C Song Near Satyanarayan Temple, D/S Raiwala",,Uttarakhand,,,2018-01-01,2018,data_gov_in,4,0.45,0.72,,7.7,,8.8,1.0,2725.0,,,,,,,,,,,,,,,,,,
"A/C Song Near Satyanarayan Temple, D/S Raiwala",,Uttarakhand,,,2019-01-01,2019,data_gov_in,5,0.45,0.702,,7.8,,9.1,1.0,2725.0,,110.0,,,,,,,,,,,,,,,,
"A/C Song Near Satyanarayan Temple, D/S Raiwala",,Uttarakhand,,,2020-01-01,2020,data_gov_in,6,0.315,0.637,,8.0,,8.9,1.2,2725.0,,55.0,,,1.8,,,,,,,,,,,,,
"A/C Song Near Satyanarayan Temple, D/S Raiwala",,Uttarakhand,,,2021-01-01,2021,data_gov_in,6,0.315,0.637,,7.8,,9.4,1.4,2725.0,,63.0,,,1.8,,,,,,,,,,,,,
"A/C Song Near Satyanarayan Temple, D/S Raiwala",,Uttarakhand,,,,,data_gov_in,2,0.63,0.765,,,110.0,8.8,,,,,,,,,,,,,,,,,,,,
"A/C Song Near Satyarayan Temple, D/S Raiwala",,Uttarakhand,,,2022-01-01,2022,data_gov_in,6,0.315,0.637,,7.6,,9.0,1.4,2725.0,,40.0,,,1.8,,,,,,,,,,,,,
A/C Tamas River ( Sirsa),,Uttar Pradesh,,,2020-01-01,2020,data_gov_in,5,0.45,0.702,,8.1,,8.5,2.4,,,1300.0,,,20.0,,,,,,,,,,,,,
A/C Tamas River ( Sirsa),,Uttar Pradesh,,,2021-01-01,2021,data_gov_in,4,0.63,0.765,,8.2,,8.4,2.7,,,785.0,,,,,,,,,,,,,,,,
A/C Tamas River ( Sirsa),,Uttar Pradesh,,,2022-01-01,2022,data_gov_in,4,0.63,0.765,,8.2,,8.4,2.7,,,680.0,,,,,,,,,,,,,,,,
A/C Tamsa River ( Sirsa),,Uttar Pradesh,,,2018-01-01,2018,data_gov_in,4,0.63,0.765,,8.1,,9.2,2.7,,,6800.0,,,,,,,,,,,,,,,,
A/C Tamsa River ( Sirsa),,Uttar Pradesh,,,2019-01-01,2019,data_gov_in,4,0.63,0.765,,8.2,,7.8,2.7,,,7000.0,,,,,,,,,,,,,,,,
A/C Tamsa River (Sirsa),,Uttar Pradesh,,,,,data_gov_in,2,0.63,0.765,,,810.0,9.2,,,,,,,,,,,,,,,,,,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2007-06-11,2007,data_gov_in,15,0.315,0.663,34.0,9.3699998856,141.5,10.470000267,0.2160000056,,3.4029505253,,,,0.3799999952,,,303.8800048828,6.0,76.8000030518,0.3720000088,56.5999984741,25.2719993591,62.7238121033,20.7229995728,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2007-07-21,2007,data_gov_in,15,0.315,0.671,32.0,8.4499998093,126.5,7.8099999428,0.1439999938,,4.6540021896,,,,0.7599999905,,,193.8300018311,7.0,65.7600021362,0.0,50.5999984741,31.9545001984,111.5500030518,14.0760002136,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2007-10-22,2007,data_gov_in,15,0.315,0.663,24.5,7.9099998474,229.5,8.1199998856,0.0359999985,,7.7760410309,,,,0.0,,,201.2850036621,10.0,101.7600021362,0.1860000044,91.8000030518,27.2159996033,49.4564437866,19.9409999847,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2007-11-12,2007,data_gov_in,15,0.315,0.663,30.0,7.5500001907,233.5,5.4000000954,0.1439999938,,7.621752739,,,,1.1399999857,,,272.9949951172,11.0,104.1600036621,0.1860000044,93.4000015259,56.8619995117,50.1628608704,18.767999649,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-01-11,2008,data_gov_in,15,0.45,0.654,15.0,7.6500000954,71.5,4.3800001144,0.2160000056,,6.8885755539,,,,0.1899999976,,,120.3450012207,1.0,64.8000030518,0.1860000044,28.6000003815,30.4965000153,97.75,12.1210002899,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-01-21,2008,data_gov_in,15,0.315,0.633,13.0,7.3400001526,154.5,4.4000000954,0.3600000143,,7.7910523415,,,,0.3799999952,,,175.0149993896,1.0,70.0800018311,0.3720000088,61.7999992371,32.0760002136,106.9499969482,11.3389997482,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-07-22,2008,data_gov_in,15,0.63,0.702,32.0,8.3100004196,589.0,6.4699997902,0.3297599852,,2.2300441265,,,,0.2698000073,,,82.3600006104,7.0,61.9679985046,0.1692599952,43.5800018311,35.3564987183,69.9430007935,205.5500030518,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-08-02,2008,data_gov_in,15,0.63,0.702,33.0,7.7800002098,127.75,6.0500001907,0.3297599852,,2.7692198753,,,,0.4503000081,,,105.7900009155,8.0,89.2799987793,0.1506599933,51.0999984741,42.4277992249,91.8389968872,219.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-08-12,2008,data_gov_in,15,0.63,0.702,32.0,7.5,664.0,5.1900000572,0.299879998,,2.7767884731,,,,0.4503000081,,,107.0147476196,8.0,77.7600021362,0.100440003,47.2000007629,19.3913993835,89.9300003052,154.5,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-09-12,2008,data_gov_in,15,0.63,0.702,29.0,8.1300001144,118.0,8.1999998093,0.1800000072,,2.0684840679,,,,0.3001999855,,,133.4799957275,9.0,85.9680023193,0.2994599938,47.2000007629,37.908000946,106.9499969482,191.5,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-10-13,2008,data_gov_in,15,0.63,0.702,29.0,8.5200004578,155.6999969482,4.6999998093,0.1997999996,,4.1470417976,,,,0.3001999855,,,107.9199981689,10.0,89.952003479,0.3998999894,62.2799987793,39.9370498657,88.5500030518,216.1499938965,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-11-01,2008,data_gov_in,14,0.63,0.688,26.0,8.1199998856,197.5,,0.2199600041,,4.1470417976,,,,0.1994999945,,,129.3975067139,11.0,76.8000030518,0.2994599938,79.0,22.9355545044,109.8939971924,231.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2008-12-11,2008,data_gov_in,14,0.315,0.674,20.0,8.2899999619,190.5,,9.0,,6.9121718407,,,,0.429399997,,,109.1483001709,12.0,175.6799926758,0.0093,76.1999969482,60.3490486145,89.6309967041,275.9400024414,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-01-12,2009,data_gov_in,15,0.45,0.672,15.0,7.3000001907,147.0,7.9499998093,0.1897200048,,8.5052843094,,,,0.4009000063,,,108.5483474731,1.0,99.8399963379,0.100440003,58.7999992371,40.5810012817,44.1758308411,257.3500061035,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-01-22,2009,data_gov_in,15,0.315,0.63,14.0,7.4200000763,217.0,8.1400003433,0.2397599965,,7.9027681351,,,,0.4009000063,,,202.279006958,1.0,135.9360046387,0.1990199983,86.8000030518,63.5444984436,39.0837287903,246.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-02-21,2009,data_gov_in,15,0.315,0.63,14.5,8.0900001526,137.0,8.8599996567,0.2375999987,,4.0904836655,,,,0.3001999855,,,184.6000061035,2.0,147.8399963379,0.100440003,54.7999992371,35.9141845703,51.7084617615,301.3999938965,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-03-13,2009,data_gov_in,15,0.315,0.681,27.2000007629,8.029999733,209.0800018311,8.9499998093,0.2498400062,,3.4304504395,,,,0.4997000098,,,257.2152404785,3.0,117.926399231,0.1990199983,83.6320037842,38.1510009766,54.3705291748,304.4349975586,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-04-22,2009,data_gov_in,15,0.315,0.651,25.0,8.0100002289,133.25,12.0,0.2199600041,,5.592716217,,,,0.4997000098,,,272.0364990234,4.0,103.6800003052,0.1990199983,53.2999992371,46.65599823,56.0466918945,234.4499969482,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-08-21,2009,data_gov_in,15,0.315,0.668,25.0,9.3100004196,92.5,9.6300001144,0.1299600005,,3.3882136345,,,,0.3001999855,,,200.9299926758,8.0,132.0,0.1990199983,37.0,61.9650001526,49.2706031799,257.5,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2009-11-11,2009,data_gov_in,15,0.315,0.689,23.0,7.0799999237,169.5,3.0399999619,0.1198799983,,2.7603640556,,,,0.7200999856,,,202.3500061035,11.0,75.8399963379,0.1506599933,67.8000030518,32.8050003052,52.2437057495,295.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-02-01,2010,data_gov_in,15,0.315,0.651,9.0,7.6500000954,157.5,4.0100002289,0.3196800053,,1.4313600063,,,,0.1994999945,,,158.3300018311,2.0,84.0,0.1990199983,63.0,45.8055000305,43.3930969238,320.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-05-01,2010,data_gov_in,15,0.315,0.66,27.5,7.6700000763,121.0,5.0799999237,0.1997999996,,7.1291599274,,,,1.5010000467,,,182.1150054932,5.0,95.9039993286,0.5003399849,48.4000015259,47.7495002747,56.3591880798,351.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-05-11,2010,data_gov_in,15,0.315,0.689,27.0,8.9399995804,161.0,8.029999733,0.3398399949,,6.2969198227,,,,1.1001000404,,,191.6999969482,5.0,100.8000030518,0.1506599933,64.4000015259,37.0574989319,57.3199729919,428.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-07-01,2010,data_gov_in,15,0.315,0.651,28.0,9.1400003433,175.0,12.6499996185,0.2772000134,,1.0137599707,,,,0.4370000064,,,298.200012207,7.0,115.1999969482,0.1990199983,70.0,43.7400016785,54.6739006042,319.950012207,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-10-01,2010,data_gov_in,14,0.63,0.697,24.0,7.3299999237,455.0,,0.3095999956,,2.6071200371,,,,0.2849999964,,,39.7599983215,10.0,43.2000007629,0.3998999894,40.0,13.3649997711,31.9699993134,125.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2010-10-21,2010,data_gov_in,15,0.63,0.702,24.0,7.25,95.0,2.6500000954,0.1979999989,,3.3947601318,,,,0.3001999855,,,88.75,10.0,46.0800018311,0.1990199983,38.0,35.2350006104,80.5,230.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-02-01,2011,data_gov_in,14,0.315,0.633,12.0,7.8800001144,220.0,,0.2199600041,,0.4314039946,,,,0.5889999866,,,216.5500030518,2.0,95.5199966431,0.5580000281,88.0,38.8800010681,47.2153244019,305.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-02-11,2011,data_gov_in,15,0.315,0.651,18.0,7.7199997902,245.0,1.5,0.3398399949,,1.42456007,,,,0.474999994,,,191.6999969482,2.0,95.5199966431,0.2976000011,98.0,41.3100013733,44.0238075256,390.0,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-07-01,2011,data_gov_in,12,0.315,0.649,,9.1400003433,177.25,,0.2808000147,,1.0698080063,,,,0.4370000064,,,330.9664916992,7.0,115.9199981689,0.2046000063,70.9000015259,43.4848518372,,319.950012207,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-07-21,2011,data_gov_in,12,0.63,0.675,,7.75,766.0,,0.1800000072,,1.5895239115,,,,0.8360000253,,,119.4574966431,7.0,75.9359970093,0.2976000011,43.1199989319,19.0025997162,,236.4499969482,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-08-01,2011,data_gov_in,13,0.63,0.672,,7.6399998665,572.0,,0.2016000003,,2.4652841091,,,,0.3039999902,,,74.1240005493,8.0,53.9519996643,0.0744000003,39.9199981689,20.0960998535,,123.5,0.0,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-09-01,2011,data_gov_in,12,0.63,0.675,,7.4099998474,392.0,,0.1800000072,,2.1848320961,,,,0.4180000126,,,31.0625,9.0,28.9920005798,0.0372000001,39.7200012207,19.9016990662,,124.5,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2011-12-21,2011,data_gov_in,12,0.315,0.659,,7.8299999237,152.4499969482,,0.1583999991,,6.9603600502,,,,0.4560000002,,,156.2355041504,12.0,79.9680023193,0.0744000003,60.9799995422,27.5926494598,,229.4499969482,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-04-01,2012,data_gov_in,13,0.315,0.604,,8.1099996567,188.3500061035,,0.1008000001,,10.3525362015,,,,0.7030000091,,,263.3745117188,4.0,123.9359970093,0.0930000022,75.3399963379,28.7954998016,,165.9499969482,0.0,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-04-21,2012,data_gov_in,12,0.315,0.633,,7.6999998093,131.25,,0.0216000006,,4.692111969,,,,0.7030000091,,,230.324005127,4.0,127.9199981689,0.0,52.5,42.8894996643,,304.950012207,,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-06-01,2012,data_gov_in,18,0.315,0.608,,7.4400000572,206.3500061035,2.7999999523,0.0216000006,51.0,120.0688247681,1500.0,2750.0,,0.4939999878,,,241.5065002441,6.0,144.5279998779,0.0,82.5400009155,39.2323493958,49.8916625977,337.950012207,24.134759903,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-07-03,2012,data_gov_in,13,0.315,0.668,32.0,9.3299999237,163.25,,0.3600000143,,,,,,0.3199999928,,,247.0,7.0,112.0,,65.3000030518,41.2000007629,55.8282928467,285.9672241211,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-07-17,2012,data_gov_in,13,0.315,0.668,31.0,8.4499998093,172.0,,0.3000000119,,,,,,0.5,,,327.0,7.0,80.0,,68.8000030518,24.2000007629,59.2424087524,274.024597168,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-09-01,2012,data_gov_in,13,0.63,0.702,26.5,7.4400000572,420.0,,0.1700000018,,,,,,0.0500000007,,,61.0,9.0,44.0,,36.2999992371,13.5,29.0,82.4590148926,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-11-01,2012,data_gov_in,18,0.315,0.593,,7.7100000381,167.3500061035,0.5,0.1692000031,60.0,38.0283584595,1900.0,3600.0,,0.6269999743,,,144.9465026855,11.0,113.1360015869,0.0,66.9400024414,38.4304504395,45.0794372559,195.1499938965,11.9059200287,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2012-12-15,2012,data_gov_in,13,0.63,0.7,19.0,8.2170000076,137.25,,0.1000000015,,,,,,0.400000006,,,109.0,12.0,80.0,,54.9000015259,30.0,75.0,184.5327911377,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2013-02-12,2013,data_gov_in,13,0.315,0.633,9.0,7.7300000191,134.75,,0.3700000048,,,,,,0.4199999869,,,162.0,2.0,94.0,,53.9000015259,26.3999996185,53.3603935242,220.4918060303,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2013-03-16,2013,data_gov_in,13,0.45,0.658,14.0,7.8000001907,119.25,,0.3700000048,,,,,,0.3400000036,,,114.0,3.0,72.0,,47.7000007629,24.5,80.0,152.131149292,0.0500000007,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2020-08-04,2020,data_gov_in,21,0.315,0.549,31.0,8.1099996567,900.0,3.7999999523,0.0500000007,34.0,12.4099998474,170000.0,140000.0,806.0,0.4799999893,,28.0,192.5599975586,8.0,76.3199996948,0.2800000012,44.8800010681,33.5999984741,166.7799987793,18.7199993134,1.8600000143,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-01-01,2021,data_gov_in,21,0.315,0.529,13.0,8.0,1520.0,4.0,0.1599999964,47.0400009155,5.25,110000.0,140000.0,1079.0,0.2899999917,,4.0,244.6100006104,1.0,122.1800003052,0.0,62.4000015259,41.2799987793,191.2599945068,20.1599998474,15.1300001144,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-04-12,2021,data_gov_in,21,0.315,0.547,26.0,8.1999998093,1820.0,2.0,0.1700000018,64.6800003052,6.529999733,350000.0,540000.0,1233.0,0.5600000024,,6.0,293.5299987793,4.0,92.8700027466,0.1099999994,52.7999992371,55.6800003052,188.1199951172,19.2000007629,10.8900003433,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-06-21,2021,data_gov_in,21,0.315,0.577,29.0,8.3000001907,1460.0,2.3800001144,0.2899999917,37.2000007629,5.5999999046,170000.0,220000.0,1060.0,0.4600000083,,39.0,260.200012207,6.0,95.4599990845,0.3199999928,49.5999984741,44.1599998474,187.7200012207,20.0799999237,1.9400000572,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-09-01,2021,data_gov_in,21,0.315,0.601,31.0,7.8000001907,950.0,2.2999999523,0.150000006,45.0800018311,3.2300000191,540000.0,920000.0,636.0,0.4300000072,,23.0,109.1999969482,9.0,63.8899993896,0.0599999987,46.4000015259,23.8099994659,91.9199981689,13.3999996185,4.6900000572,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-09-21,2021,data_gov_in,21,0.315,0.619,28.0,7.8000001907,700.0,2.0599999428,0.0700000003,25.4799995422,1.3999999762,170000.0,220000.0,457.0,0.2399999946,,154.0,96.0,9.0,56.9599990845,0.0500000007,47.6800003052,16.7000007629,62.7200012207,8.0200004578,1.5900000334,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-11-01,2021,data_gov_in,21,0.315,0.577,22.0,7.9000000954,1080.0,2.7599999905,0.0700000003,45.0800018311,3.2000000477,350000.0,540000.0,735.0,0.5400000215,,23.0,159.6499938965,11.0,66.4899978638,0.1000000015,57.5999984741,25.9200000763,107.1600036621,11.8000001907,6.3800001144,,
AGRA (J.B.),,Uttar Pradesh,27.2038888889,78.035,2021-11-22,2021,data_gov_in,20,0.315,0.53,18.0,7.9000000954,1460.0,1.0,0.0599999987,52.9199981689,5.4100003242,240000.0,350000.0,1022.0,0.5199999809,,13.0,224.3300018311,11.0,91.3499984741,,68.8000030518,51.8400001526,154.4199981689,18.6200008392,14.0,,
Aadibadri,,Uttarakhand,30.1561111111,79.2263888889,2020-01-16,2020,data_gov_in,15,0.378,0.682,,8.1899995804,138.8000030518,8.6000003815,,29.0,10.6600008011,,,65.6999969482,,,1.1299999952,39.9900016785,1.0,3.0,0.2700000107,21.7000007629,21.0,0.1700000018,88.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1977-05-07,1977,data_gov_in,10,0.315,0.454,,7.8000001907,651.0,0.0,,,,,,651.0,,,,248.0,5.0,96.2900009155,,51.5999984741,61.9199981689,,272.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1977-08-03,1977,data_gov_in,10,0.44099999999999995,0.479,,7.8000001907,86.0,,,,,,,392.0,,,,102.1334991455,8.0,52.65599823,0.0,34.4000015259,31.9787998199,,132.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1977-09-08,1977,data_gov_in,9,0.44099999999999995,0.483,,7.9000000954,98.6999969482,,,,,,,292.0,,,,112.1800003052,9.0,51.8400001526,,39.4799995422,37.1790008545,,148.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1977-11-23,1977,data_gov_in,9,0.315,0.469,,7.8000001907,120.1500015259,,,,,,,480.0,,,,200.2910003662,11.0,93.1200027466,,48.0600013733,52.6216506958,,248.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1977-12-09,1977,data_gov_in,10,0.315,0.454,,7.9000000954,466.0,0.0,,,,,,466.0,,,,192.0,12.0,93.0,,46.4399986267,51.5999984741,,239.9999847412,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1978-03-03,1978,data_gov_in,10,0.315,0.454,,7.9000000954,604.0,0.0,,,,,,604.0,,,,202.0,3.0,85.5899963379,,48.1599998474,52.6300010681,,244.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1978-04-04,1978,data_gov_in,10,0.315,0.454,,7.8000001907,610.0,0.0,,,,,,610.0,,,,196.0,4.0,82.3000030518,,44.7200012207,49.5400009155,,236.0000152588,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1978-05-01,1978,data_gov_in,10,0.315,0.454,,7.9000000954,684.0,0.0,,,,,,684.0,,,,220.0,5.0,92.1800003052,,51.5999984741,55.7299995422,,256.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1978-10-03,1978,data_gov_in,9,0.44099999999999995,0.483,,7.6999998093,103.0,,,,,,,430.0,,,,56.0900001526,10.0,58.0800018311,,41.2000007629,16.5240001678,,164.0,,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1979-04-02,1979,data_gov_in,17,0.315,0.46,26.0,7.8000001907,107.5,0.0,0.0,,0.0,,,1008.0,0.0,,,59.9949989319,4.0,68.6399993896,0.0,43.0,22.9634990692,40.0200004578,192.0,0.0,,
Agra(Poiyaghat),,Uttar Pradesh,27.2541666667,78.0230555556,1979-08-01,1979,data_gov_in,17,0.315,0.49,32.5,8.1800003052,340.0,0.0,0.0,,0.0,,,340.0,0.0,,,24.1399993896,8.0,27.8400001526,0.0,24.0,19.8045005798,14.9499998093,104.0,0.0,,
